filename,label,path
cat_1.jpg,cat,dataset\cat\cat_1.jpg
cat_10.jpg,cat,dataset\cat\cat_10.jpg
cat_2.jpg,cat,dataset\cat\cat_2.jpg
cat_3.jpg,cat,dataset\cat\cat_3.jpg
cat_4.jpg,cat,dataset\cat\cat_4.jpg
cat_5.jpg,cat,dataset\cat\cat_5.jpg
cat_6.jpg,cat,dataset\cat\cat_6.jpg
cat_7.jpg,cat,dataset\cat\cat_7.jpg
cat_8.jpg,cat,dataset\cat\cat_8.jpg
cat_9.jpg,cat,dataset\cat\cat_9.jpg
dog_1.jpg,dog,dataset\dog\dog_1.jpg
dog_10.jpg,dog,dataset\dog\dog_10.jpg
dog_2.jpg,dog,dataset\dog\dog_2.jpg
dog_3.jpg,dog,dataset\dog\dog_3.jpg
dog_4.jpg,dog,dataset\dog\dog_4.jpg
dog_5.jpg,dog,dataset\dog\dog_5.jpg
dog_6.jpg,dog,dataset\dog\dog_6.jpg
dog_7.jpg,dog,dataset\dog\dog_7.jpg
dog_8.jpg,dog,dataset\dog\dog_8.jpg
dog_9.jpg,dog,dataset\dog\dog_9.jpg
fox_1.jpg,fox,dataset\fox\fox_1.jpg
fox_10.jpg,fox,dataset\fox\fox_10.jpg
fox_2.jpg,fox,dataset\fox\fox_2.jpg
fox_3.jpg,fox,dataset\fox\fox_3.jpg
fox_4.jpg,fox,dataset\fox\fox_4.jpg
fox_5.jpg,fox,dataset\fox\fox_5.jpg
fox_6.jpg,fox,dataset\fox\fox_6.jpg
fox_7.jpg,fox,dataset\fox\fox_7.jpg
fox_8.jpg,fox,dataset\fox\fox_8.jpg
fox_9.jpg,fox,dataset\fox\fox_9.jpg
hamster_1.jpg,hamster,dataset\hamster\hamster_1.jpg
hamster_10.jpg,hamster,dataset\hamster\hamster_10.jpg
hamster_2.jpg,hamster,dataset\hamster\hamster_2.jpg
hamster_3.jpg,hamster,dataset\hamster\hamster_3.jpg
hamster_4.jpg,hamster,dataset\hamster\hamster_4.jpg
hamster_5.jpg,hamster,dataset\hamster\hamster_5.jpg
hamster_6.jpg,hamster,dataset\hamster\hamster_6.jpg
hamster_7.jpg,hamster,dataset\hamster\hamster_7.jpg
hamster_8.jpg,hamster,dataset\hamster\hamster_8.jpg
hamster_9.jpg,hamster,dataset\hamster\hamster_9.jpg
rabbit_1.jpg,rabbit,dataset\rabbit\rabbit_1.jpg
rabbit_10.jpg,rabbit,dataset\rabbit\rabbit_10.jpg
rabbit_2.jpg,rabbit,dataset\rabbit\rabbit_2.jpg
rabbit_3.jpg,rabbit,dataset\rabbit\rabbit_3.jpg
rabbit_4.jpg,rabbit,dataset\rabbit\rabbit_4.jpg
rabbit_5.jpg,rabbit,dataset\rabbit\rabbit_5.jpg
rabbit_6.jpg,rabbit,dataset\rabbit\rabbit_6.jpg
rabbit_7.jpg,rabbit,dataset\rabbit\rabbit_7.jpg
rabbit_8.jpg,rabbit,dataset\rabbit\rabbit_8.jpg
rabbit_9.jpg,rabbit,dataset\rabbit\rabbit_9.jpg
